doi,paper_title,year,journal,sub_field,data_source,best_algorithm,best_metric_type,best_metric_value,validation_method,interpretability_method,model_framework,control_loop_type,scale,dataset_size,time_span,real_time_testing,deployed_in_plant,uses_real_wastewater,code_available,data_available,uncertainty_quantification,ml_algorithms,target_variable
10.1016/j.seppur.2023.124627,Machine learning and computational approaches for designing membrane distillation modules,2023,Separation and Purification Technology,membrane,experimental,DNN,R2,0.995,random_split,none,tensorflow,none,lab,7140.0,,False,False,False,False,False,False,DNN; NLR,distillate flux; membrane distillation flux (L m-2 h-1); membrane flux
10.1016/j.solener.2023.06.007,Harnessing the power of neural networks for the investigation of solar-driven membrane distillation systems under the dynamic operation mode,2023,Solar Energy,membrane,experimental,ANN,R2,0.977,k_fold,none,keras,none,lab,160.0,20 days,False,False,False,False,False,False,ANN; LSTM; MLP,GOR; efficiency; permeate flux
10.1016/j.watres.2023.119650,Dynamic alpha factor prediction with operating data - a machine learning approach to model oxygen transfer dynamics in activated sludge,2023,Water Research,WWTP,mixed,RF,R2,0.911,random_split,feature_importance,r,none,mixed,20000.0,3 years,False,False,True,True,True,False,RF,alpha-zero factor (oxygen transfer); alpha0-factor; alpha0-factor (oxygen transfer efficiency in activated sludge)
10.1016/j.watres.2023.119874,Forecasting and Optimizing Dual Media Filter Performance via Machine Learning,2023,Water Research,membrane,SCADA,RF,R2,0.98,k_fold,none,matlab,none,full_scale,,August 2014 to May 2020,False,False,True,False,False,False,DT; GPR; LR; MLR; RF; SVR,Unit Filter Run Volume (UFRV)
10.1016/j.watres.2023.120075,Predicting microbial water quality in on-site water reuse systems with online sensors,2023,Water Research,monitoring,experimental,LR,other,0.819,LOOCV,none,sklearn,advisory,lab,500.0,4 months,False,False,False,True,True,False,LR; Logit; PCA; RF; SVM,binary microbial water quality safety (safe/unsafe based on virus LRV and bacterial ICC targets); microbial water quality (virus log-removal and bacterial regrowth); microbial water quality classification (virus log-removal value and bacterial intact cell count targets met or not met)
10.1016/j.watres.2023.121018,Real-time water quality prediction in water distribution networks using graph neural networks with sparse monitoring data,2024,Water Research,monitoring,simulated,GGNN,MAE,0.07,k_fold,none,not_specified,none,simulation,17280.0,2 months,False,False,False,False,False,False,CNN; GGNN; GNN; GRU,chlorine concentration; chlorine concentration at all network nodes
10.1016/j.wroa.2024.100244,High resolution data visualization and machine learning prediction of free chlorine residual in a green building water system,2024,Water Research X,monitoring,experimental,RF,R2,0.9,random_split,partial_dependence,sklearn,advisory,full_scale,73504.0,1 year,False,False,True,True,True,False,LR; LSTM; RF,free chlorine residual; free chlorine residual concentration
10.1021/acs.est.3c00353,Systematic Performance Evaluation of Reinforcement Learning Algorithms Applied to Wastewater Treatment Control Optimization,2023,Environmental Science &amp; Technology,control,simulated,TD3,other,14.3,temporal_split,none,not_specified,closed_loop,simulation,175200.0,5 years,False,False,False,False,False,False,A2C; DQN; PPO; RL; TD3,DO and IMLR set points; TN) and operational cost index optimization; dissolved oxygen set point and internal mixed liquor recycle flow rate for BSM1 process control; effluent quality (NHx
10.1021/acs.est.4c12835,Predicting Membrane Fouling of Submerged Membrane Bioreactor Wastewater Treatment Plants Using Machine Learning,2025,Environmental Science &amp; Technology,membrane,SCADA,LSTM,R2,0.88,temporal_split,feature_importance,tensorflow,advisory,full_scale,,2 years,True,True,True,True,False,False,LR; LSTM,membrane permeability; membrane permeability (LMH bar-1)
10.1021/acs.est.5c04143,Multimodal Learning-Assisted Identification of Effluent Water Quality and Toxicity in Wastewater Treatment Plants,2025,Environmental Science &amp; Technology,WWTP,mixed,NN,R2,0.904,k_fold,SHAP,not_specified,none,full_scale,83.0,11 months,False,False,True,False,False,False,ANN; NN; RF; SVR,NH3-N; TN; TP; and biological toxicity reduction ratio; and toxicity reduction ratio; effluent COD
10.1021/acs.est.5c05051,Biochar-Augmented Anaerobic Digestion System: Insights from an Interpretable Stacking Ensemble Deep Learning,2025,Environmental Science &amp; Technology,sludge,literature_compiled,Stacking,R2,0.94,random_split,SHAP,not_specified,none,lab,5000.0,,False,False,True,True,False,False,CNN; ET; Extra Trees; GBM; GRU; LR; LSTM; RF; SVR; Stacking; XGBoost,specific methane yield; specific methane yield (SMY)
10.1021/acs.est.5c06257,A Multi-Model Ensemble for Advanced Prediction of Reverse Osmosis Performance in Full-Scale Zero-Liquid Discharge Systems,2025,Environmental Science &amp; Technology,membrane,SCADA,ConvLSTM,R2,0.942,temporal_split,SHAP,sklearn,advisory,full_scale,331.0,4.75 years,False,False,True,True,False,False,ARIMA; CNN; ConvLSTM; GRU; LSTM; RNN,RO membrane flux and salt rejection; membrane flux
10.1021/acs.iecr.3c00275,Understanding Single-Protein Fouling in Micro- and Ultrafiltration Systems via Machine-Learning-Based Models,2023,Industrial &amp; Engineering Chemistry Research,membrane,literature_compiled,ANN,R2,0.742,random_split,feature_importance,matlab,none,mixed,692.0,30 years,False,False,False,False,True,False,ANN; RF,steady state permeate flux; steady-state permeate flux; steady-state permeate flux and protein rejection
10.1021/acs.iecr.3c03067,Modeling an Adaptive Hybrid Soft Sensor with Co-training Learning toward Applications in Wastewater Treatment,2023,Industrial &amp; Engineering Chemistry Research,WWTP,mixed,Co-training RPLS-RELM,RMSE,0.0018,random_split,none,not_specified,none,mixed,526.0,526 days,False,False,True,False,False,False,ANN; BP; ELM; GPR; KF; LR; PLS; RBP; RELM; RPLS; RVM,BOD5; COD; DBO; DBO); DQO; SNH; SNO; effluent BOD5; effluent SS; effluent quality variables (SS
10.1021/acsenvironau.2c00072,Development of a Soft Sensor Using Machine Learning Algorithms for Predicting the Water Quality of an Onsite Wastewater Treatment System,2023,ACS Environmental Au,monitoring,experimental,SVR,R2,0.96,k_fold,feature_importance,r,open_loop,pilot,52.0,2 years,False,False,True,False,False,True,CUB; DT; KNN; LM; LR; PLS; QRNN; RF; SVR,TSS; and E. coli concentrations; effluent COD
10.1021/acsestengg.1c00316,Data-Driven Based In-Depth Interpretation and Inverse Design of Anaerobic Digestion for CH<sub>4</sub>-Rich Biogas Production,2022,ACS ES&amp;T Engineering,sludge,experimental,Stacking,R2,0.86,random_split,SHAP,sklearn,advisory,lab,715.0,,False,False,True,False,False,True,ANN; GBM; GBR; KNN; NN; RF; SVR; Stacking,CH4 yield and content; CH4 yield and content in biogas
10.1021/acsestengg.2c00090,Design of a Soft Sensor for Monitoring Phosphorous Uptake in an EBPR Process,2022,ACS ES&amp;T Engineering,WWTP,experimental,LR,accuracy,1.0,k_fold,none,matlab,none,lab,5613.0,1 month,False,False,False,False,False,False,Bayesian; LR; RF; SVM,P removal process completion status; completion of phosphorus removal process (binary classification: P removal ongoing vs. complete); orthophosphate removal completion
10.1021/acsestengg.2c00156,Novel Intelligent Control Framework for WWTP Optimization To Achieve Stable and Sustainable Operation,2022,ACS ES&amp;T Engineering,control,SCADA,Stacking,R2,0.83,random_split,SHAP,sklearn,open_loop,full_scale,8760.0,1 year,False,False,True,False,False,False,ANN; LR; MLR; RF; RL; SVM; SVR; Stacking; XGBoost,effluent Total Nitrogen; effluent total nitrogen; effluent total nitrogen (TN)
10.1021/acsestengg.3c00368,Predicting and Evaluating Different Pretreatment Methods on Methane Production from Sludge Anaerobic Digestion via Automated Machine Learning with Ensembled Semisupervised Learning,2023,ACS ES&amp;T Engineering,sludge,mixed,GBM,R2,0.94,random_split,SHAP,sklearn,none,lab,150.0,,False,False,True,True,True,False,ANN; DNN; GBM; KNN; RF; SVR; Stacking; XGBoost,daily methane yield; daily methane yield (mL/g VS)
10.1021/acsestengg.3c00435,Feature Engineering and Supervised Machine Learning to Forecast Biogas Production during Municipal Anaerobic Co-Digestion,2023,ACS ES&amp;T Engineering,sludge,mixed,ANN,R2,0.78,temporal_split,SHAP,sklearn,none,full_scale,491761.0,3 years,False,False,True,True,True,False,ANN; Bayesian; LR; MLP; SVR; Stacking,24-hour rolling average); biogas flow rate (CFM); biogas flow rate (cubic feet per minute; daily average biogas flow
10.1021/acsestengg.4c00042,Long-Term Statistical Process Monitoring of an Ultrafiltration Water Treatment Process,2024,ACS ES&amp;T Engineering,membrane,SCADA,LR,other,,temporal_split,none,r,advisory,pilot,38611.0,14 months,False,False,True,True,True,False,AD-PCA; KNN; LR; PCA; RF; Shewhart; XGBoost; adaptive lasso,and temperature-corrected permeability; fault detection in UF membrane process (filtrate turbidity; fault detection using T2 and SPE monitoring statistics; filtrate ammonia; filtrate turbidity; temperature-corrected permeability)
10.1021/acsestengg.4c00276,Predicting Biogas Yield after Microwave Pretreatment Using Artificial Neural Network Models: Performance Evaluation and Method Comparison,2024,ACS ES&amp;T Engineering,sludge,literature_compiled,DCFBP,R2,0.9697,random_split,none,matlab,none,lab,1868.0,43 days,False,False,True,False,False,False,ANN; DCFBP; DFFBP; DNN,cumulative biogas yield; cumulative biogas yield (CBY)
10.1021/acsestengg.5c00054,Prediction and Optimization of Ammonia Removal in Direct Aeration Process Based on Wastewater Properties: An Integrated Experimental and Machine Learning Approach,2025,ACS ES&amp;T Engineering,WWTP,experimental,XGBoost,R2,0.981,k_fold,SHAP,sklearn,none,lab,384.0,180 minutes,False,False,True,False,False,False,ANN; ElasticNet; LR; Lasso; MLR; RF; Ridge; SGDRegressor; XGBoost,TAN removal efficiency
10.1021/acsestengg.5c00493,Machine Learning-Assisted Expert Control in Wastewater Aeration Treatment Process Application,2025,ACS ES&amp;T Engineering,control,SCADA,LSTM-Fuzzy Inference,other,,temporal_split,none,not_specified,closed_loop,full_scale,,3 years,True,True,True,False,False,False,ANFIS; DT; LSTM; PID; Transformer,dissolved oxygen (DO) and blower air volume; dissolved oxygen (DO) concentration
10.1021/acsestwater.3c00020,Predicting THM Formation and Revealing Its Contributors in Drinking Water Treatment Using Machine Learning,2023,ACS ES&amp;T Water,DBP,literature_compiled,LSBoost,R2,0.9,random_split,SHAP,matlab,none,lab,203.0,,False,False,True,True,False,False,ANN; GBM; LSBoost; RF; SVR; XGBoost,THM concentration; THM concentration (µg/L)
10.1021/acsestwater.3c00236,Machine Learning Algorithm Integrated with Real-Time <i>In Situ</i> Sensors and Physiochemical Principle-Driven Soft Sensors toward an Anaerobic Digestion-Data Fusion Framework,2023,ACS ES&amp;T Water,sludge,mixed,RF,R2,0.99,none_reported,SHAP,sklearn,none,lab,10000.0,2 years,False,False,True,False,False,False,ANN; LR; RF; SVM,CH4 percentage in biogas production; percentage of CH4 in biogas production
10.1021/acsestwater.4c00040,Enhanced Insights into Effluent Prediction in Wastewater Treatment Plants: Comprehensive Deep Learning Model Explanation Based on SHAP,2024,ACS ES&amp;T Water,WWTP,SCADA,LSTM,R2,0.75,temporal_split,SHAP,not_specified,none,full_scale,9264.0,13 months,False,False,True,False,False,False,ANN; BPNN; GRU; LSTM; XGBoost,TN; and TP; and TP concentrations; effluent COD
10.1021/acsestwater.4c00073,"Deep Learning-Based Multiobjective Optimization for Balancing Effluent Quality, Operational Cost, and Greenhouse Gas Emissions in Wastewater Treatment Plant Control",2024,ACS ES&amp;T Water,control,simulated,DNN,R2,0.9995,random_split,none,matlab,advisory,simulation,1500.0,609 days,False,False,False,False,True,False,DNN,EQI; GHG emissions; OCI; and GHG emissions; and greenhouse gas emissions; effluent quality index (EQI); operational cost index (OCI)
10.1021/acsestwater.4c00473,Flux Decline Prediction in Dead-End Ultrafiltration Combining Fluorescence Spectroscopy and Mechanism-Informed Machine Learning,2024,ACS ES&amp;T Water,membrane,experimental,SVM,R2,0.96,random_split,LIME,matlab,none,lab,30.0,,False,False,True,True,False,False,ANN; SVM; SVR,flux decline profile; flux decline profile in dead-end ultrafiltration; membrane flux
10.1038/s41545-021-00108-3,Detection of untreated sewage discharges to watercourses using machine learning,2021,npj Clean Water,monitoring,SCADA,SVM,AUC,0.97,k_fold,none,not_specified,none,full_scale,8073.0,11 years,False,False,True,False,False,False,PCA; SVM,binary classification of untreated sewage spill vs normal day; untreated sewage spill occurrence; untreated sewage spill occurrence (binary classification)
10.1038/s41545-021-00125-2,Forecasting point-of-consumption chlorine residual in refugee settlements using ensembles of artificial neural networks,2021,npj Clean Water,monitoring,experimental,ANN,other,0.15,random_split,none,keras,advisory,full_scale,693.0,2 months,False,False,True,False,True,True,ANN; Bagging,point-of-consumption free residual chlorine (FRC) concentration
10.1038/s41545-024-00308-7,Combined advanced oxidation dye-wastewater treatment plant: design and development with data-driven predictive performance modeling,2024,npj Clean Water,WWTP,experimental,ANN,R2,0.99,random_split,none,not_specified,none,pilot,45.0,45 days,False,False,True,False,False,False,ANN; LR; MLP; MLR,TOC; and Turbidity; effluent COD; outlet COD
10.1038/s41545-024-00361-2,Data driven multiple objective optimization of AAO process towards wastewater effluent biological toxicity reduction,2024,npj Clean Water,WWTP,experimental,ANN,R2,0.86,k_fold,SHAP,not_specified,none,full_scale,122.0,1 year,False,False,True,False,False,False,ANN; RF; SVR; XGBoost,biological toxicity reduction ratio; biological toxicity reduction ratio of treatment process; toxicity reduction ratio
